Scheme Name,Details,Entities
Special Jobs to PwDs - Clerical Assistant,"The scheme ""Special Job to PwDs - Clerical Assistant"" was introduced by the Department of Social Welfare & Tribal Affairs, Union Territory of Lakshadweep, with the aim of providing temporary employment opportunities to Persons with Disabilities (PwDs) having a minimum of 40% disability in the UT. Under this scheme, 11 PwD candidates are employed as Clerical Assistants on an 89-day rotation basis in the District Panchayat offices of their respective islands to address issues related to disabled persons and other associated matters.","{""AGE"": [""89-day""], ""GENDER"": [], ""LOCATION"": [""District Panchayat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disability"", ""disabled""]}"
Veda Vyasa Scheme for Vedic Education,"Andhra Pradesh Brahmin Welfare Corporation launched the “Veda Vyasa Scheme for Vedic Education” for the year 2019-20, to encourage Vedic Education in Andhra Pradesh.  Under this scheme, selected applicants will be granted Annual Financial Assistance. The scheme applies to Brahmin Community students who are pursuing Vedic Education (Yajur Veda, Rig Veda, Sama Veda, Atharvana Veda, or Smartham), as a full-time course.","{""AGE"": [""the year 2019-20""], ""GENDER"": [], ""LOCATION"": [""Yajur Veda"", ""Rig Veda"", ""Sama Veda""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Kalyani Sahayata Yojana (Madhya Pradesh Labor Welfare Board),"The ""Kalyani Sahayata Yojana"" is implemented by the Labour Welfare Board under the Labour Department, Government of Madhya Pradesh, aims to provide financial assistance to the widows of organized sector workers. Under this scheme, financial assistance of ₹6,000/- every six months (totaling ₹12,000/- per year) will be provided to the wife of a deceased worker employed in an industrial unit or establishment in Madhya Pradesh. The application must be submitted within one year of the worker's death. Assistance continues annually upon submission of an affidavit confirming the widow is alive and has not remarried.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Madhya Pradesh""], ""OCCUPATION"": [], ""INCOME"": [""6,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [""widow""], ""DISABILITY"": []}"
Aponar Apon Ghar,"""Aponar Apon Ghar"" is a Home Loan Subsidy Scheme by the Finance Department, Govt. of Assam. The objective is to realize the vision of “Housing For All” by 2022 so that each poor person may have their own house. All the applicants will get home loans at subsidized interest rates. Applicant must avail of housing loans from any Scheduled Commercial Bank, Regional Rural Bank, or Assam Cooperative Apex bank within the state. The state govt. will provide ₹ 2,50,000 subsidy on home loans up to ₹ 40,00,000. This house loan subsidy is only for those who are purchasing their 1st house and have not availed of loans under the previous Apun Ghar Scheme. The scope of the scheme is limited to the permanent residents of the state of Assam.","{""AGE"": [""2022""], ""GENDER"": [], ""LOCATION"": [""Govt"", ""Assam"", ""Assam""], ""OCCUPATION"": [], ""INCOME"": [""2,50,000"", ""up to \u20b9 40,00,000""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Supply of Fodder Minikit,"The ""Supply of Fodder Minikit"" scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. Under this scheme, improved variety of fodder seeds are provided to beneficiaries for wide spread publicity, demonstration and adaptation by farmers.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Rent to MSEs,"The ""Aatmanirbhar Gujarat Scheme for MSMEs"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat. It aims to empower the state's dynamic MSME sector, which significantly contributes to employment, GDP, and exports. Effective from October 5, 2022, to October 4, 2027, this initiative supports growth, investments, and the vision of ""Aatmanirbhar Gujarat"" and ""Aatmanirbhar Bharat.""
The component ""Assistance in Rent to MSEs"" provides financial assistance to Micro and Small Enterprises (MSEs) that acquire rented or leased sheds to set up manufacturing activities. The assistance is provided in the form of a reimbursement of the rent paid during the operative period of the scheme.
﻿
﻿
﻿","{""AGE"": [""October 5, 2022"", ""October 4, 2027""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Asangathit Karmakar Prasuti Sahayata Yojana,"Labor Department of Chhattisgarh State started this scheme ""Asangathit Karmakar Prasuti Sahayata Yojana"" for unorganized worker on 10 April 2018. The main objective of the scheme to empower unorganized worker by providing financial help for the delivery assistance.","{""AGE"": [""10 April 2018""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Assistance for Cattleshed, Gaman, Water Tank and Bucket","The scheme ""Assistance for Cattleshed, Gaman, Water Tank and Bucket"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial aid to farmers and cattle rearers for the construction of cattlesheds, purchasing gaman (cattle feed containers), water tanks, and buckets.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [""the Agriculture, Farmers Welfare and Cooperation Department""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Rajiv Gandhi Krishak Sathi Sahayta Yojana,"The Rajasthan government's Rajiv Gandhi Krishak Sathi Sahayta Yojana is a critical safety net for those who keep our food system running smoothly.  Farmers, farmworkers, and market staff face inherent risks in their daily activities.  This program acknowledges those risks and provides much-needed financial assistance in times of crisis.  If an accident occurs while they're tending to crops, raising livestock, or selling their produce at market, the Yojana can help soften the financial blow.  This can mean the difference between a family being able to afford medical care and essential needs, or facing devastating hardship.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Yojana""], ""OCCUPATION"": [""Farmers""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Anusuchit Janjati Gram Vikas Yojana,"The scheme ""Mukhyamantri Anusuchit Janjati Gram Vikas Yojana"" by the Department of Scheduled Tribe, Scheduled Caste, Minority & Backward Class Welfare, Govt. of Jharkhand, aims to promote the social, economic, educational, and health development of Scheduled Tribe communities in tribal-dominated villages. Under this scheme, benefits such as financial grants, equipment, training programs, & healthcare services are provided to the tribal population to ensure their holistic development.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Govt"", ""Jharkhand""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""Backward Class""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
KARMASHREE- The Chief Minister's Award For Excellence In Public Administration,"In order to acknowledge, recognize and reward the extraordinary exemplary and innovative work done by the officers of the State Govt., a scheme, ""KARMASHREE"" the Chief Minister's award for excellence in public administration has been instituted.
The award will be given for Innovation in Public Administration and outstanding implementation of Govt. schemes, policies and programmes. Officers of State Governments individually or as a group will be eligible for the award. Not more than 3 (three) officers including the applicant will be allowed in a group. There would be a total of 10 (ten) awards and shall consist of a ""Citation"". The award will be given every year.
﻿
The CM Awards are given in the following categories:
﻿
1.	e-Governance Initiatives
2.	Replication of the Best Policy in the Government
3.	New Initiative/ an innovative step of efficient and transparent execution of schemes/programmes of the State/Center.
﻿
There are three committees constituted for finalizing the name of the awardee:
﻿
1.	Screening Committee: The screening Committee	shall examine the applications and place them before the Expert Committee.
2.	Expert Committee: Expert Committee will assess the initiatives based on the presentation of the initiatives and conduct a spot study (if necessary) of the initiatives shortlisted by the Screening Committee. The shortlisted initiatives would be placed before the State Level Committee.
3.	State Level Committee: State	Level Committee will shortlist the applications/initiative for making recommendations to the Hon'ble Chief Minister, Assam for the final selection of Awards.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Govt""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme Of Coaching & Allied For Scheduled Castes,"To promote a more level playing field, and give Scheduled Caste (SC) candidates a better chance to succeed in competitive examinations, the Department of Scheduled Tribe, Scheduled Caste, Minority and Backward Class Welfare has  launched a scheme for coaching and pre examination training for disadvantaged SC candidates in quality coaching institutions to enable them to appear in competitive examinations and succeed in obtaining an appropriate job in the public/private sector.
Implementation of the scheme:
Registered Private Coaching Institutions/ NGO’s running their centre in the State of Jharkhand shall be covered under the scheme.
Registered Private Coaching Institutions/ NGO’s running their centre in the State of Jharkhand shall be covered under the scheme.
Coaching Institutions/NGO’s selected under the scheme have to run the coaching program at Ranchi and Dumka.
If any Coaching Institution runs coaching at different centres in different districts/cities of Jharkhand separate proposal (s) shall be submitted for each district/city.
The coaching institutions will be selected for the course period only in a financial year. Fresh proposal will be invited for the next financial year.
The total number of students including non SC students shall not exceed 40 per class, admission being based on merit. The total number of SC students admitted shall preferably contain 30% women SC candidates and 5% disabled SC candidates. Maximum ten percent (10 %) of the total students in a batch can be selected from a particular district of Jharkhand.
Candidates for free coaching under the scheme will be selected by the department and a list of selected candidates will be provided to the selected coaching institution for imparting coaching to them.
Candidates can avail coaching once only under the scheme for a particular competitive exam and a maximum of two coaching courses in all.(Undertaken to be submitted).
Within one week of start of coaching classes, the institute shall furnish the course-wise names of the candidates with photographs enrolled for coaching along with other details and full address in the prescribed format.
﻿
Courses to be covered:
The courses for which the coaching will be imparted shall be as follows:
Civil Services Examination/State Civil Services Examination.
Entrance Exams for Medical, Engineering, MBA and other professional courses.
Other exams conducted by U.P.S.C. like CDS, NDA, etc./Staff Selection Commission Exams/Subordinate/Lower Subordinate Services Exam, Central Excise, etc.
BSRBs/RRBs, General Insurance Corporation, etc.
﻿
Terms and Conditions:
Some of the key terms and conditions that should be furnished by the Coaching Institutions while submitting the application:
The grantee institution shall not utilize the grant for any partisan, political or anti-government propaganda.
The stipend and support for boarding/lodging to students as provided under the scheme shall be disbursed monthly by the Institute through a/c payee cheques.
The institute shall claim grant in respect of SC candidates only. In case it has coaching facilities for other categories also, grant-in-aid will be given only in respect of SC students under this scheme.
The institute shall accept SC certificates in prescribed proforma duly issued by the Competent Authority like Collector/Deputy Collector/Tehsildar etc of State Government .
The institute shall obtain an undertaking from each of the admitted candidate that once he is admitted for the course he will not leave the course in between without assigning proper justification to the satisfaction of the Department of Tribal Affairs otherwise, he is liable to refund back to the Government of Jharkhand all the expenses incurred on his coaching.
The institute shall also obtain an undertaking from the candidate that he is not receiving/has not received any such coaching under any scheme of Government of Jharkhand/Government of India.
The organization shall not charge any fees from the beneficiaries.
The total number of students including non SC students shall not exceed 40 per class, admission being based on merit. The total number of SC students admitted shall preferably contain 30% women SC candidates and 5% disabled SC candidates. Maximum ten percent (10 %) of the total students in a batch can be selected from a particular district of Jharkhand.
﻿
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Ranchi"", ""Jharkhand"", ""Jharkhand"", ""U.P.S.C."", ""Jharkhand""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""SC"", ""Scheduled Caste"", ""Backward Class"", ""SC"", ""SC"", ""SC"", ""SC"", ""SC"", ""General"", ""SC"", ""SC"", ""SC"", ""SC"", ""SC"", ""SC"", ""SC""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disabled"", ""disabled""]}"
